Holder,Common Stock Equivalent Held (actual),Percent of Common Shares Outstanding,Market Value ($M),Change in Shares (actual),Change (%),Position Date,Source,Portfolio Turnover Category,Portfolio Turnover (%),Investment Orientation,Equity Assets ($M),City,State,Country,Calculated Investment Style,Calculated Market Cap Emphasis,Owner Type,Funds,Derivatives Ex. 60 Days
JP Morgan Asset Management,"93,489,444",0.59,"13,369.0","(957,107)",(1.01),9/30/22,13F,Low       ,20.85,Active    ,"561,477.82",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,85,
Eaton Vance Management,"88,419,425",0.56,"12,644.0","2,427,946",2.82,9/30/22,Aggregated 13F,Very Low  ,11.75,Active    ,"284,850.77",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,29,
Charles Schwab Investment Management Inc.,"80,601,632",0.51,"11,526.0","12,501",0.02,12/31/22,Multiple,Very Low  ,9.28,Passive   ,"351,335.42",San Francisco,CA,USA,Growth,Large Cap ,Traditional Investment Managers,16,
Teachers Insurance and Annuity Association-College Retirement Equities Fund,"77,692,019",0.49,"11,110.0","(107,967)",(0.14),9/30/22,13F,Very Low  ,19.09,Active    ,"310,211.32",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,13,
Goldman Sachs Asset Management LP,"71,231,292",0.45,"10,186.1","1,104,692",1.58,9/30/22,13F,Low       ,27.05,Active    ,"254,799.90",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,58,
Schweizerische Nationalbank,"70,142,608",0.44,"10,030.4","(649,000)",(0.92),9/30/22,13F,Very Low  ,5.15,Active    ,"163,863.62",Bern,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,,
Wellington Management Group LLP,"67,208,273",0.42,"9,610.8","849,452",1.28,9/30/22,13F,Low       ,24.88,Active    ,"593,893.70",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,38,
Wells Fargo & Co.,"63,176,682",0.40,"9,034.3","(1,589,486)",(2.45),9/30/22,13F,Very Low  ,12.08,Active    ,"198,742.23",San Francisco,CA,USA,Growth,Large Cap ,Banks/Investment Banks,,
Bank of America Corp.,"59,846,580",0.38,"8,558.1","(6,631,802)",(9.98),9/30/22,13F,Low       ,24.00,Active    ,"151,445.08",Charlotte,NC,USA,Growth,Large Cap ,Traditional Investment Managers,,
Fisher Asset Management LLC,"59,176,198",0.37,"8,462.2","(6,493,537)",(9.89),9/30/22,13F,Very Low  ,13.34,Active    ,"143,410.87",Camas,WA,USA,Growth,Large Cap ,Traditional Investment Managers,4,
Columbia Management Investment Advisers LLC,"51,507,744",0.33,"7,365.6","(490,946)",(0.94),9/30/22,13F,Low       ,20.55,Active    ,"314,159.81",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,52,
H&H International Investment LLC,"49,758,100",0.31,"7,115.4","7,257,000",17.08,9/30/22,13F,Very Low  ,17.38,Active    ,"10,080.80",Palo Alto,CA,USA,Blend,Large Cap ,Family Offices/Trusts,,
Jennison Associates LLC,"48,069,405",0.30,"6,873.9","(938,913)",(1.92),9/30/22,13F,Low       ,28.78,Active    ,"117,881.94",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,26,
Dimensional Fund Advisors LP,"47,492,347",0.30,"6,791.4","(1,394,118)",(2.85),9/30/22,13F,Very Low  ,11.66,Active    ,"432,305.40",Austin,TX,USA,GARP,Large Cap ,Traditional Investment Managers,26,
Nikko Asset Management Co. Ltd.,"47,414,492",0.30,"6,780.3","(1,075,639)",(2.22),12/31/22,13F,Very Low  ,10.77,Passive   ,"135,937.58",Tokyo,,Japan,Growth,Large Cap ,Traditional Investment Managers,10,
Amundi Asset Management SAS,"44,874,609",0.28,"6,417.1","17,787,637",65.67,9/30/22,Multiple,Low       ,23.41,Passive   ,"358,449.39",Paris,,France,Growth,Large Cap ,Traditional Investment Managers,230,
Merrill Lynch Pierce Fenner & Smith Inc.,"41,757,183",0.26,"5,971.3","(869,628)",(2.04),9/30/22,13F,Low       ,22.46,Active    ,"128,295.11",New York,NY,USA,Growth,Large Cap ,Banks/Investment Banks,,
Deutsche Asset & Wealth Management,"40,918,257",0.26,"5,851.3","(2,217,761)",(5.14),9/30/22,Multiple,Low       ,21.66,Active    ,"240,165.90",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,118,
Managed Account Advisors LLC,"40,656,828",0.26,"5,813.9","628,106",1.57,9/30/22,13F,Very Low  ,19.23,Active    ,"216,531.77",Jersey City,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,,
Janus Henderson Group PLC,"36,367,420",0.23,"5,200.5","613,989",1.72,9/30/22,13F,Low       ,23.08,Active    ,"191,845.69",London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,32,
California Public Employees' Retirement System,"35,282,448",0.22,"5,045.4","5,350,006",17.87,9/30/22,13F,Very Low  ,8.17,Active    ,"125,857.37",Sacramento,CA,USA,Growth,Large Cap ,Government Pension Sponsors,,
AllianceBernstein LP,"35,223,153",0.22,"5,036.9","(470,075)",(1.32),9/30/22,13F,Low       ,22.92,Active    ,"251,293.81",Nashville,TN,USA,Growth,Large Cap ,Traditional Investment Managers,59,
American Century Investment Management Inc,"34,747,097",0.22,"4,968.8","903,006",2.67,9/30/22,13F,Low       ,32.66,Active    ,"143,268.20",Kansas City,MO,USA,Growth,Large Cap ,Traditional Investment Managers,27,
Massachusetts Financial Services Company,"31,634,414",0.20,"4,523.7","66,612",0.21,9/30/22,13F,Very Low  ,13.68,Active    ,"413,834.83",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,39,
JPMorgan Chase & Co.,"30,135,013",0.19,"4,309.3","(2,021,711)",(6.29),9/30/22,13F,Low       ,43.79,Active    ,"218,289.61",New York,NY,USA,Growth,Large Cap ,Banks/Investment Banks,,
Invesco Ltd.,"28,002,825",0.18,"4,004.4","(893,186)",(3.09),9/30/22,13F,Low       ,25.22,Active    ,"299,880.81",Atlanta,GA,USA,Growth,Large Cap ,Traditional Investment Managers,52,
State Farm Mutual Automobile Insurance Co.,"27,682,734",0.17,"3,958.6",0,,9/30/22,13F,Very Low  ,1.82,Active    ,"99,858.85",Bloomington,IL,USA,Blend,Large Cap ,Traditional Investment Managers,2,
New York State Common Retirement Fund,"27,567,008",0.17,"3,942.1","(1,252,813)",(4.35),9/30/22,13F,Very Low  ,9.71,Passive   ,"79,684.51",Albany,NY,USA,Growth,Large Cap ,Government Pension Sponsors,,
Rhumbline Advisers Ltd Partnership,"27,234,746",0.17,"3,894.6","482,396",1.80,9/30/22,13F,Very Low  ,3.21,Passive   ,"75,206.54",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,1,
California State Teachers' Retirement System,"26,872,509",0.17,"3,842.8","(427,692)",(1.57),9/30/22,13F,Very Low  ,5.25,Passive   ,"67,351.47",West Sacramento,CA,USA,Growth,Large Cap ,Government Pension Sponsors,,
Strategic Advisers LLC,"25,163,931",0.16,"3,598.4","1,169,103",4.87,9/30/22,13F,Very Low  ,15.99,Active    ,"93,414.04",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Voya Investment Management LLC,"23,614,437",0.15,"3,376.9","11,803,719",99.94,9/30/22,Aggregated 13F,Low       ,31.62,Active    ,"78,458.62",Atlanta,GA,USA,Growth,Large Cap ,Traditional Investment Managers,11,
Principal Global Investors LLC,"22,305,984",0.14,"3,189.8","(378,704)",(1.67),9/30/22,13F,Very Low  ,16.69,Active    ,"154,854.93",Des Moines,IA,USA,Growth,Large Cap ,Traditional Investment Managers,18,
National Pension Service,"22,096,062",0.14,"3,159.7","429,447",1.98,9/30/22,13F,Very Low  ,10.46,Active    ,"52,850.71",JEONJU-SI,,South Korea,Growth,Large Cap ,Government Pension Sponsors,,
Royal Bank of Canada,"22,061,857",0.14,"3,154.8","(3,901,189)",(15.03),9/30/22,13F,Very Low  ,19.46,Active    ,"96,920.66",Toronto,ON,Canada,Blend,Large Cap ,Banks/Investment Banks,,
ClearBridge Investments LLC,"21,989,791",0.14,"3,144.5","(902,523)",(3.94),9/30/22,13F,Very Low  ,17.35,Active    ,"116,427.22",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,31,
BMO Asset Management Corp.,"21,870,358",0.14,"3,127.5","(6,789,527)",(23.69),9/30/22,13F,Low       ,25.15,Active    ,"142,646.97",Chicago,IL,USA,Growth,Large Cap ,Traditional Investment Managers,28,
Union Asset Management Holding AG,"21,590,637",0.14,"3,087.5","2,127,687",10.93,9/30/22,13F,Low       ,41.89,Active    ,"90,083.17",Frankfurt,,Germany,Growth,Large Cap ,Traditional Investment Managers,44,
TD Asset Management Inc.,"21,450,482",0.14,"3,067.4","(8,814)",(0.04),9/30/22,13F,Very Low  ,14.33,Active    ,"95,151.85",Toronto,ON,Canada,Growth,Large Cap ,Traditional Investment Managers,31,
PGIM Inc.,"21,091,999",0.13,"3,016.2","(932,898)",(4.24),9/30/22,13F,Low       ,38.46,Active    ,"64,226.62",Newark,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,22,
Sjunde AP-fonden,"20,476,670",0.13,"2,928.2",0,,6/30/22,Aggregated Mutual Funds,Very Low  ,4.57,Passive   ,"66,988.44",Stockholm,,Sweden,Growth,Large Cap ,Government Pension Sponsors,1,
New England Asset Management Inc.,"20,466,129",0.13,"2,926.7","2,238",0.01,9/30/22,13F,Very Low  ,2.17,Active    ,"5,572.44",Farmington,CT,USA,Blend,Large Cap ,Traditional Investment Managers,,
Manulife Asset Management,"20,172,845",0.13,"2,884.7","(627,363)",(3.02),9/30/22,13F,Low       ,22.77,Active    ,"100,224.04",Toronto,ON,Canada,Growth,Large Cap ,Traditional Investment Managers,38,
"Raymond James Financial, Inc.","19,164,573",0.12,"2,740.5","1,391",0.01,9/30/22,Aggregated 13F,Very Low  ,13.16,Active    ,"68,398.79",Saint Petersburg,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
HSBC Global Asset Management (UK) Ltd.,"19,004,144",0.12,"2,717.6","(2,776,263)",(12.75),9/30/22,13F,Low       ,30.54,Passive   ,"125,503.62",London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,39,
Barclays PLC,"18,553,577",0.12,"2,653.2","2,181,723",13.33,9/30/22,13F,Moderate  ,50.98,Active    ,"64,036.63",London,,United Kingdom,Growth,Large Cap ,Banks/Investment Banks,,
PNC Financial Services Group Inc.,"18,495,542",0.12,"2,644.9","(393,164)",(2.08),9/30/22,13F,Very Low  ,5.44,Active    ,"57,472.49",Pittsburgh,PA,USA,Blend,Large Cap ,Banks/Investment Banks,,
Neuberger Berman Investment Advisers LLC,"18,352,970",0.12,"2,624.5","(190,072)",(1.03),9/30/22,13F,Low       ,25.02,Active    ,"108,444.41",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,12,
Nordea Investment Management AB,"17,944,111",0.11,"2,566.0","(461,044)",(2.51),9/30/22,13F,Low       ,21.17,Active    ,"119,756.74",Stockholm,,Sweden,Growth,Large Cap ,Traditional Investment Managers,66,
Invesco Capital Management LLC,"17,742,403",0.11,"2,537.2","1,253,631",7.60,9/30/22,13F,Low       ,25.94,Passive   ,"140,693.75",Downers Grove,IL,USA,Growth,Large Cap ,Traditional Investment Managers,48,
New York State Teachers' Retirement System,"17,641,684",0.11,"2,522.8","(256,044)",(1.43),12/31/22,13F,Very Low  ,3.20,Active    ,"42,627.98",Albany,NY,USA,Growth,Large Cap ,Government Pension Sponsors,,
Citigroup Inc.,"17,569,218",0.11,"2,512.4","325,782",1.89,9/30/22,13F,Moderate  ,52.38,Active    ,"76,088.61",New York,NY,USA,Growth,Large Cap ,Banks/Investment Banks,,
Franklin Resources Inc.,"17,368,761",0.11,"2,483.7","(2,968)",(0.02),9/30/22,Multiple,Low       ,24.94,Active    ,"231,859.99",San Mateo,CA,USA,Growth,Large Cap ,Traditional Investment Managers,68,
Putnam LLC,"17,209,728",0.11,"2,461.0","(474,534)",(2.68),9/30/22,13F,Low       ,28.29,,"63,364.17",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,25,
State Board of Administration of Florida,"17,076,524",0.11,"2,441.9","(109,042)",(0.63),9/30/22,13F,Very Low  ,3.36,Active    ,"43,546.31",Tallahassee,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Cresset Asset Management LLC,"16,900,479",0.11,"2,416.8","(68,398)",(0.40),9/30/22,13F,Very Low  ,13.55,Active    ,"4,067.77",Chicago,IL,USA,Growth,Large Cap ,Family Offices/Trusts,,
Sanders Capital LLC,"16,557,604",0.10,"2,367.7","239,618",1.47,9/30/22,13F,Very Low  ,15.81,Active    ,"40,817.19",West Palm Beach,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Sarofim Fayez & Co,"16,167,742",0.10,"2,312.0","(263,666)",(1.61),9/30/22,13F,Very Low  ,5.19,Active    ,"29,570.34",Houston,TX,USA,Growth,Large Cap ,Traditional Investment Managers,4,
Ensign Peak Advisors Inc.,"15,622,757",0.10,"2,234.1","(160,623)",(1.02),9/30/22,13F,Low       ,27.41,Active    ,"44,453.83",Salt Lake City,UT,USA,Growth,Large Cap ,Educational/Cultural Endowments,,
Adage Capital Management LP,"15,305,854",0.10,"2,188.7","(596,800)",(3.75),9/30/22,13F,Moderate  ,54.03,Active    ,"44,253.04",Boston,MA,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Korea Investment Corp.,"15,061,217",0.10,"2,153.8","568,212",3.92,9/30/22,13F,Low       ,29.17,Active    ,"37,851.25",Seoul,,South Korea,Growth,Large Cap ,Sovereign Wealth Funds (<5% stake),,
LPL Financial LLC,"14,302,127",0.09,"2,045.2","132,377",0.93,9/30/22,13F,Very Low  ,12.10,Active    ,"28,067.37",Fort Mill,SC,USA,Growth,Large Cap ,Traditional Investment Managers,,
Bessemer Investment Management LLC,"14,093,813",0.09,"2,015.4","35,770",0.25,9/30/22,Aggregated 13F,Low       ,30.52,Active    ,"45,152.57",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,2,
Credit Suisse Asset Management (Switzerland) Ltd.,"13,756,082",0.09,"1,967.1","(34,696)",(0.25),9/30/22,Multiple,Very Low  ,13.25,Passive   ,"145,604.51",Zurich,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,33,
GWL Investment Management Ltd.,"13,705,790",0.09,"1,959.9","13,705,790",,9/30/22,13F,Very Low  ,12.64,Active    ,"57,385.67",Winnipeg,MB,Canada,Growth,Large Cap ,Traditional Investment Managers,11,
Stifel Asset Management Corp.,"13,323,381",0.08,"1,905.2","(121,720)",(0.91),9/30/22,13F,Very Low  ,14.08,Active    ,"51,091.39",St. Louis,MO,USA,Growth,Large Cap ,Traditional Investment Managers,2,
Victory Capital Management Inc.,"12,881,989",0.08,"1,842.1","730,818",6.01,9/30/22,13F,Low       ,32.60,Active    ,"95,953.42",San Antonio,TX,USA,Growth,Large Cap ,Traditional Investment Managers,25,
RBC Global Asset Management Inc.,"12,605,042",0.08,"1,802.5","(611,982)",(4.63),9/30/22,13F,Low       ,21.28,Active    ,"133,014.88",Toronto,ON,Canada,Growth,Large Cap ,Traditional Investment Managers,33,
RBC Dominion Securities Inc.,"12,563,719",0.08,"1,796.6","(70,745)",(0.56),9/30/22,13F,Very Low  ,11.25,Active    ,"71,751.01",Toronto,ON,Canada,Growth,Large Cap ,Traditional Investment Managers,,
Stichting Pensioenfonds ABP,"12,462,172",0.08,"1,782.1","874,715",7.55,9/30/22,13F,Very Low  ,18.98,Active    ,"69,695.43",Heerlen,,Netherlands,Growth,Large Cap ,Corporate Pension Sponsors,,
Commonwealth Equity Services LLC,"12,055,527",0.08,"1,723.9","(30,537)",(0.25),9/30/22,13F,Very Low  ,10.96,Active    ,"17,610.95",Waltham,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
CIBC Pvt. Wealth Advisors Inc.,"11,804,100",0.07,"1,688.0","(16,876)",(0.14),9/30/22,13F,Very Low  ,17.84,Active    ,"37,689.57",Chicago,IL,USA,Growth,Large Cap ,Family Offices/Trusts,4,
Mirae Asset Global Investments Co. Ltd.,"11,705,435",0.07,"1,673.9","(318,952)",(2.65),9/30/22,13F,Low       ,30.83,Passive   ,"59,735.68",Seoul,,South Korea,Growth,Large Cap ,Traditional Investment Managers,32,
U.S. Bancorp Asset Management Inc.,"11,522,755",0.07,"1,647.8","(360,732)",(3.04),9/30/22,13F,Very Low  ,9.19,Active    ,"29,688.65",Minneapolis,MN,USA,Growth,Large Cap ,Traditional Investment Managers,,
Boston Partners Global Investors Inc.,"11,502,723",0.07,"1,644.9","88,749",0.78,9/30/22,Aggregated 13F,Low       ,26.36,Active    ,"130,993.55",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,15,
Chevy Chase Trust Co.,"11,483,787",0.07,"1,642.2","10,109",0.09,9/30/22,13F,Very Low  ,3.80,Active    ,"26,027.12",Bethesda,MD,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Barclays Bank PLC,"11,418,234",0.07,"1,632.8","7,031,236",160.27,9/30/22,Multiple,Moderate  ,51.89,Active    ,"52,259.76",London,,United Kingdom,Growth,Large Cap ,Banks/Investment Banks,1,
The Toronto-Dominion Bank,"11,239,033",0.07,"1,607.2","(2,202,765)",(16.39),9/30/22,Aggregated 13F,Low       ,22.54,Active    ,"60,538.22",Toronto,ON,Canada,Growth,Large Cap ,Banks/Investment Banks,,
First Republic Investment Management Inc.,"11,189,109",0.07,"1,600.0","294,231",2.70,9/30/22,13F,Very Low  ,11.97,Active    ,"30,305.89",San Francisco,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
ProShare Advisors LLC,"10,899,142",0.07,"1,558.6","(2,330,561)",(17.62),9/30/22,13F,Very Low  ,10.70,Passive   ,"29,668.46",Bethesda,MD,USA,Growth,Large Cap ,Traditional Investment Managers,16,
HighTower Advisors LLC,"10,737,037",0.07,"1,535.4","(53,436)",(0.50),9/30/22,13F,Low       ,21.93,Active    ,"26,040.19",Chicago,IL,USA,Growth,Large Cap ,Traditional Investment Managers,,
abrdn PLC,"10,704,217",0.07,"1,530.7","4,000,813",59.68,9/30/22,13F,Very Low  ,19.44,Active    ,"114,683.73",Edinburgh,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,34,
Schroder Investment Management Ltd.,"10,584,556",0.07,"1,513.6","361,257",3.53,9/30/22,13F,Low       ,28.14,Active    ,"133,139.55",London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,23,
Mitsubishi UFJ Kokusai Asset Management Co. Ltd.,"10,493,024",0.07,"1,500.5","842,429",8.73,9/30/22,13F,Very Low  ,12.11,Active    ,"42,068.49",Tokyo,,Japan,Growth,Large Cap ,Traditional Investment Managers,13,
State of Wisconsin Investment Board,"10,371,481",0.07,"1,483.1","(1,919,637)",(15.62),9/30/22,13F,Low       ,24.99,Passive   ,"33,790.83",Madison,WI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Robert W. Baird & Co. Inc.,"10,311,189",0.07,"1,474.5","(67,806)",(0.65),9/30/22,13F,Very Low  ,13.93,Active    ,"28,576.90",Milwaukee,WI,USA,Growth,Large Cap ,Family Offices/Trusts,,
Ohio Public Employees Retirement System,"10,089,144",0.06,"1,442.7","195,714",1.98,9/30/22,13F,Very Low  ,10.61,Active    ,"25,068.64",Columbus,OH,USA,Growth,Large Cap ,Government Pension Sponsors,,
Credit Suisse Group AG,"9,944,544",0.06,"1,422.1","1,243,817",14.30,9/30/22,13F,Low       ,46.92,Active    ,"46,881.85",Zurich,,Switzerland,Growth,Large Cap ,Banks/Investment Banks,,
Arrowstreet Capital Ltd. Partnership,"9,921,843",0.06,"1,418.8","1,673,068",20.28,9/30/22,13F,Moderate  ,83.51,Active    ,"79,285.34",Boston,MA,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
New Jersey Division of Investment,"9,890,845",0.06,"1,414.4","(8,000)",(0.08),12/31/22,Aggregated 13F,Very Low  ,9.77,Active    ,"27,739.12",Trenton,NJ,USA,Growth,Large Cap ,Government Pension Sponsors,,
The Goldman Sachs Group Inc.,"9,771,442",0.06,"1,397.3","5,417,479",124.43,9/30/22,13F,Moderate  ,67.09,Active    ,"118,118.62",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
AQR Capital Management LLC,"9,690,575",0.06,"1,385.8","98,680",1.03,9/30/22,13F,Low       ,41.94,Active    ,"47,871.96",Greenwich,CT,USA,GARP,Large Cap ,Traditional Investment Managers,9,
Raymond James Financial Services Advisors Inc.,"9,595,078",0.06,"1,372.1","(1,006)",(0.01),9/30/22,13F,Very Low  ,16.72,Active    ,"24,726.75",Saint Petersburg,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
PERA Colorado,"9,536,211",0.06,"1,363.7","40,496",0.43,9/30/22,13F,Very Low  ,7.55,Active    ,"20,285.34",Denver,CO,USA,Growth,Large Cap ,Government Pension Sponsors,,
Fidelity International Ltd.,"9,479,587",0.06,"1,355.6","(569,860)",(5.67),9/30/22,13F,Low       ,28.64,Active    ,"204,873.69",Pembroke,,Bermuda,Growth,Large Cap ,Traditional Investment Managers,51,
Mitsubishi UFJ Trust & Banking Corp.,"9,449,238",0.06,"1,351.2","87,277",0.93,9/30/22,13F,Very Low  ,8.03,Active    ,"27,605.84",Tokyo,,Japan,Growth,Large Cap ,Traditional Investment Managers,,
First Manhattan Co.,"9,371,741",0.06,"1,340.2","(381,674)",(3.91),9/30/22,13F,Very Low  ,9.67,Active    ,"26,098.23",New York,NY,USA,Blend,Large Cap ,Traditional Investment Managers,1,
Macquarie Investment Management Business Trust,"9,244,772",0.06,"1,322.0","130,238",1.43,9/30/22,13F,Low       ,24.12,Active    ,"95,275.62",Philadelphia,PA,USA,Growth,Large Cap ,Traditional Investment Managers,15,
Russell Investment Management LLC,"9,207,861",0.06,"1,316.7","372,518",4.22,9/30/22,13F,Low       ,32.30,Active    ,"62,248.49",Seattle,WA,USA,Growth,Large Cap ,Traditional Investment Managers,30,
Envestnet Asset Management Inc.,"9,204,362",0.06,"1,316.2","379,517",4.30,9/30/22,13F,Very Low  ,15.02,Active    ,"54,438.71",Chicago,IL,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Los Angeles Capital Management LLC,"8,910,568",0.06,"1,274.2","(678,560)",(7.08),9/30/22,13F,Low       ,45.35,Active    ,"22,979.76",Los Angeles,CA,USA,Growth,Large Cap ,Traditional Investment Managers,3,
Deka Investment GmbH,"8,514,250",0.05,"1,217.5","30,823",0.36,9/30/22,13F,Low       ,22.35,Active    ,"74,819.69",Frankfurt Main,,Germany,Growth,Large Cap ,Traditional Investment Managers,58,
AXA Investment Managers SA,"8,401,451",0.05,"1,201.4","(120,935)",(1.42),9/30/22,13F,Low       ,27.65,Active    ,"48,993.62",Paris,,France,Growth,Large Cap ,Traditional Investment Managers,37,
Creative Planning LLC,"8,363,125",0.05,"1,195.9","(370,436)",(4.24),9/30/22,13F,Very Low  ,10.23,Active    ,"9,951.21",Overland Park,KS,USA,Growth,Large Cap ,Family Offices/Trusts,,
Allianz Asset Management GmbH,"8,152,748",0.05,"1,165.8","(13,044,004)",(61.54),9/30/22,13F,Low       ,31.80,Active    ,"80,879.25",MÜNchen,,Germany,Growth,Large Cap ,Traditional Investment Managers,66,
Pictet Asset Management Ltd.,"8,109,055",0.05,"1,159.6","(107,542)",(1.31),9/30/22,13F,Low       ,26.61,Active    ,"117,576.08",London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,17,
Caisse de dépôt et placement du Québec,"8,098,665",0.05,"1,158.1","(1,322,800)",(14.04),9/30/22,13F,Low       ,39.10,Active    ,"77,533.38",Quebec,QC,Canada,Growth,Large Cap ,Traditional Investment Managers,1,
KBC Asset Management NV,"7,962,398",0.05,"1,138.6","2,321,665",41.16,9/30/22,13F,Low       ,31.14,Active    ,"40,051.93",Brussels,,Belgium,Growth,Large Cap ,Traditional Investment Managers,32,
D.E. Shaw & Co. LP,"7,922,780",0.05,"1,133.0","(244,977)",(3.00),9/30/22,13F,High      ,102.53,Active    ,"53,884.38",New York,NY,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
BB&T Trust,"7,792,234",0.05,"1,114.3","34,782",0.45,9/30/22,13F,Very Low  ,16.30,Active    ,"26,951.35",Raleigh,NC,USA,Growth,Large Cap ,Traditional Investment Managers,,
